date,equity,cash,unsettled,n_positions,daily_ret,pnl,gross_long,gross_short,turnover,skipped_unsettled
2019-01-08,5000.0,30.306146144866943,0.0,5,0.0,0.0,4969.693853855133,0,4969.693853855133,0.0
2019-01-09,4924.876266479492,0.10614633560180664,0.0,5,-0.015024746704101588,-75.12373352050781,4924.77012014389,0,30.199999809265137,0.0
2019-01-10,4864.853887557983,52.318448305130005,0.0,5,-0.012187591255854113,-60.02237892150879,4812.535439252853,0,2070.639806985855,0.0
2019-01-11,4907.462084531784,52.318448305130005,0.0,5,0.008758371362965756,42.60819697380066,4855.143636226654,0,0.0,0.0
2019-01-14,4352.147734642029,22.4588680267334,0.0,5,-0.11315713505766944,-555.3143498897552,4329.688866615295,0,796.1660964488983,0.0
2019-01-15,4166.970153331757,61.85809278488159,0.0,5,-0.0425485513362297,-185.17758131027222,4105.112060546875,0,1885.8705849647522,0.0
2019-01-16,4158.615494251251,22.398093700408936,0.0,5,-0.0020049721435669854,-8.354659080505371,4136.217400550842,0,39.459999084472656,0.0
2019-01-17,4095.9746499061584,21.558330059051514,0.0,5,-0.015062908420286902,-62.64084434509277,4074.416319847107,0,151.56716537475586,0.0
2019-01-18,4275.034074306488,40.779722571372986,0.0,5,0.043715950342718024,179.0594244003296,4234.254351735115,0,3473.978433728218,0.0
2019-01-22,4244.707075357437,38.705129623413086,0.0,5,-0.007093978298633896,-30.326998949050903,4206.001945734024,0,1797.4661029577255,0.0
2019-01-23,4310.290210008621,45.97507286071777,0.0,5,0.015450567845288088,65.58313465118408,4264.315137147903,0,1694.464599609375,0.0
2019-01-24,5024.375611066818,25.433226704597473,0.0,5,0.1656699122950167,714.085401058197,4998.942384362221,0,2760.034113764763,0.0
2019-01-25,4939.821640968323,8.813950657844543,0.0,5,-0.016828751797985597,-84.55397009849548,4931.007690310478,0,2168.0713748931885,0.0
2019-01-28,4915.510322332382,3.473950505256653,0.0,5,-0.004921497252920015,-24.31131863594055,4912.036371827126,0,115.7400016784668,0.0
