date,ticker,action,shares,price,notional,cost
2019-02-04,AMD,BUY,42,24.1299991607666,1013.4599647521973,0.0
2019-02-04,ON,BUY,47,21.59000015258789,1014.7300071716309,0.0
2019-02-04,TSLA,BUY,49,20.859333038330078,1022.1073188781738,0.0
2019-02-05,ON,SELL,47,21.8799991607666,1028.3599605560303,0.0
2019-02-05,TSLA,SELL,49,21.42333221435547,1049.743278503418,0.0
2019-02-05,AMD,BUY,2,23.309999465942383,46.619998931884766,0.0
2019-02-05,ENPH,BUY,141,7.300000190734863,1029.3000268936157,0.0
2019-02-05,GE,BUY,20,49.27788543701172,985.5577087402344,0.0
2019-02-06,ON,BUY,44,22.81999969482422,1004.0799865722656,0.0
2019-02-06,AMAT,BUY,27,37.32902145385742,1007.8835792541504,0.0
2019-02-06,GOOGL,BUY,18,55.684268951416016,1002.3168411254883,0.0
2019-02-06,ENPH,SELL,141,7.320000171661377,1032.1200242042542,0.0
2019-02-06,AMD,SELL,44,23.260000228881836,1023.4400100708008,0.0
2019-02-06,GE,SELL,20,48.536163330078125,970.7232666015625,0.0
2019-02-07,AMAT,SELL,27,36.995391845703125,998.8755798339844,0.0
2019-02-07,GOOGL,SELL,18,54.84223556518555,987.1602401733398,0.0
2019-02-07,ON,SELL,44,22.25,979.0,0.0
2019-02-07,ENPH,BUY,135,7.480000019073486,1009.8000025749207,0.0
2019-02-07,TSLA,BUY,49,20.500667572021484,1004.5327110290527,0.0
2019-02-07,WMT,BUY,35,28.927570343017578,1012.4649620056152,0.0
2019-02-08,POET,BUY,439,2.299999952316284,1009.6999790668488,0.0
2019-02-08,PANW,BUY,27,37.436668395996094,1010.7900466918945,0.0
2019-02-08,FTNT,BUY,62,16.20400047302246,1004.6480293273926,0.0
2019-02-08,ENPH,SELL,135,7.440000057220459,1004.400007724762,0.0
2019-02-08,SBUX,SELL,1,59.515296936035156,59.515296936035156,0.0
2019-02-08,PLUG,SELL,756,1.340000033378601,1013.0400252342224,0.0
2019-02-08,WMT,SELL,35,28.583663940429688,1000.4282379150391,0.0
2019-02-11,DIS,BUY,9,105.631103515625,950.679931640625,0.0
2019-02-11,SBUX,BUY,1,59.720088958740234,59.720088958740234,0.0
2019-02-11,AVGO,BUY,44,22.79566764831543,1003.0093765258789,0.0
2019-02-11,FTNT,SELL,62,16.33799934387207,1012.9559593200684,0.0
2019-02-11,PANW,SELL,27,37.310001373291016,1007.3700370788574,0.0
2019-02-12,DIS,SELL,9,105.39946746826172,948.5952072143555,0.0
2019-02-12,TSLA,SELL,49,20.78733253479004,1018.5792942047119,0.0
2019-02-12,ENPH,BUY,133,7.599999904632568,1010.7999873161316,0.0
2019-02-12,PLUG,BUY,743,1.3700000047683716,1017.9100035429001,0.0
2019-02-13,AVGO,SELL,44,23.25865936279297,1023.3810119628906,0.0
2019-02-13,ENPH,SELL,133,7.679999828338623,1021.4399771690369,0.0
2019-02-13,POET,SELL,46,2.700000047683716,124.20000219345093,0.0
2019-02-13,NVDA,BUY,280,3.7899954319000244,1061.1987209320068,0.0
2019-02-13,TSLA,BUY,51,20.544666290283203,1047.7779808044434,0.0
2019-02-14,AVGO,BUY,48,23.273536682128906,1117.1297607421875,0.0
2019-02-14,TSLA,BUY,5,20.251333236694336,101.25666618347168,0.0
2019-02-14,KO,BUY,31,36.509586334228516,1131.797176361084,0.0
2019-02-14,SBUX,SELL,17,60.44536209106445,1027.5711555480957,0.0
2019-02-14,POET,SELL,27,3.0999999046325684,83.69999742507935,0.0
2019-02-14,PLUG,SELL,64,1.6699999570846558,106.87999725341797,0.0
2019-02-14,NVDA,SELL,280,3.830899953842163,1072.6519870758057,0.0
2019-02-15,AVGO,SELL,48,23.309097290039062,1118.836669921875,0.0
2019-02-15,KO,SELL,31,36.22929382324219,1123.1081085205078,0.0
2019-02-15,POET,SELL,20,3.299999952316284,65.99999904632568,0.0
2019-02-15,AMAT,BUY,31,36.235469818115234,1123.2995643615723,0.0
2019-02-15,ENPH,BUY,149,7.650000095367432,1139.8500142097473,0.0
2019-02-15,PLUG,BUY,27,1.6200000047683716,43.74000012874603,0.0
2019-02-19,AMAT,SELL,31,36.42083740234375,1129.0459594726562,0.0
2019-02-19,PLUG,SELL,50,1.690000057220459,84.50000286102295,0.0
2019-02-19,TSLA,SELL,2,20.375999450683594,40.75199890136719,0.0
2019-02-19,KO,BUY,30,35.90095520019531,1077.0286560058594,0.0
2019-02-19,POET,BUY,65,2.700000047683716,175.50000309944153,0.0
2019-02-20,AVGO,BUY,47,23.432279586791992,1101.3171405792236,0.0
2019-02-20,TSLA,SELL,54,20.17066764831543,1089.2160530090332,0.0
2019-02-20,ENPH,BUY,5,7.230000019073486,36.15000009536743,0.0
2019-02-20,PLUG,SELL,28,1.7799999713897705,49.839999198913574,0.0
2019-02-20,POET,SELL,12,2.799999952316284,33.59999942779541,0.0
2019-02-21,TSLA,BUY,57,19.415332794189453,1106.6739692687988,0.0
2019-02-21,AVGO,SELL,47,23.22723960876465,1091.6802616119385,0.0
2019-02-22,ENPH,SELL,8,7.78000020980835,62.2400016784668,0.0
2019-02-22,KO,SELL,30,36.26131820678711,1087.8395462036133,0.0
2019-02-22,TSLA,SELL,57,19.6473331451416,1119.8979892730713,0.0
2019-02-22,AVGO,BUY,49,22.860157012939453,1120.1476936340332,0.0
2019-02-22,BRK-B,BUY,5,201.91000366210938,1009.5500183105469,0.0
2019-02-25,PLUG,BUY,25,1.75,43.75,0.0
2019-02-25,DHR,BUY,10,105.62808990478516,1056.2808990478516,0.0
2019-02-25,POET,BUY,9,2.799999952316284,25.199999570846558,0.0
2019-02-25,BRK-B,SELL,5,202.30999755859375,1011.5499877929688,0.0
2019-02-25,ENPH,SELL,5,8.0600004196167,40.300002098083496,0.0
2019-02-26,AVGO,SELL,49,22.73613739013672,1114.0707321166992,0.0
2019-02-26,DHR,SELL,10,105.67953491210938,1056.7953491210938,0.0
2019-02-26,PLUG,SELL,16,1.7699999809265137,28.31999969482422,0.0
2019-02-26,F,BUY,182,6.17525053024292,1123.8955965042114,0.0
2019-02-26,POET,BUY,26,2.5999999046325684,67.59999752044678,0.0
2019-02-26,TSLA,BUY,56,19.857332229614258,1112.0106048583984,0.0
2019-02-27,PLUG,BUY,22,1.7899999618530273,39.3799991607666,0.0
2019-02-27,UNH,BUY,5,221.2843475341797,1106.4217376708984,0.0
2019-02-27,NFLX,BUY,32,36.2869987487793,1161.1839599609375,0.0
2019-02-27,POET,SELL,13,2.799999952316284,36.399999380111694,0.0
2019-02-27,F,SELL,182,6.105709075927734,1111.2390518188477,0.0
2019-02-27,ENPH,SELL,8,8.869999885559082,70.95999908447266,0.0
2019-02-27,TSLA,SELL,56,20.982667922973633,1175.0294036865234,0.0
2019-02-28,TSLA,BUY,55,21.325332641601562,1172.893295288086,0.0
2019-02-28,ENPH,SELL,3,9.069999694824219,27.209999084472656,0.0
2019-02-28,NFLX,SELL,32,35.810001373291016,1145.9200439453125,0.0
2019-02-28,POET,SELL,13,2.9000000953674316,37.70000123977661,0.0
2019-02-28,UNH,SELL,5,214.32936096191406,1071.6468048095703,0.0
2019-02-28,GE,BUY,23,50.09192657470703,1152.1143112182617,0.0
2019-03-01,ENPH,SELL,3,9.100000381469727,27.30000114440918,0.0
2019-03-01,GE,SELL,23,49.51338577270508,1138.8078727722168,0.0
2019-03-01,PLUG,SELL,17,1.7999999523162842,30.59999918937683,0.0
2019-03-01,SLB,BUY,30,37.33958435058594,1120.1875305175781,0.0
2019-03-01,TSLA,BUY,3,19.652666091918945,58.957998275756836,0.0
2019-03-04,TSLA,BUY,2,19.02400016784668,38.04800033569336,0.0
2019-03-04,UNH,BUY,5,208.84329223632812,1044.2164611816406,0.0
2019-03-04,ENPH,BUY,4,8.779999732971191,35.119998931884766,0.0
2019-03-04,POET,SELL,9,2.9000000953674316,26.100000858306885,0.0
2019-03-04,PLUG,SELL,20,1.8600000143051147,37.200000286102295,0.0
2019-03-04,SLB,SELL,30,37.38089370727539,1121.4268112182617,0.0
2019-03-05,TSLA,BUY,2,18.43600082397461,36.87200164794922,0.0
2019-03-06,TSLA,SELL,62,18.416000366210938,1141.7920227050781,0.0
2019-03-06,UNH,SELL,5,211.54208374023438,1057.7104187011719,0.0
2019-03-06,GE,BUY,25,43.92082595825195,1098.0206489562988,0.0
2019-03-06,POET,BUY,15,2.700000047683716,40.50000071525574,0.0
2019-03-06,SBUX,BUY,18,60.812259674072266,1094.6206741333008,0.0
2019-03-07,GE,SELL,25,45.56003189086914,1139.0007972717285,0.0
2019-03-07,PLUG,SELL,46,1.9700000286102295,90.62000131607056,0.0
2019-03-07,ENPH,BUY,6,8.289999961853027,49.739999771118164,0.0
2019-03-07,POET,BUY,22,2.5999999046325684,57.199997901916504,0.0
2019-03-07,TSLA,BUY,61,18.439332962036133,1124.799310684204,0.0
2019-03-08,SBUX,BUY,1,59.182533264160156,59.182533264160156,0.0
2019-03-08,COP,BUY,22,50.84796142578125,1118.6551513671875,0.0
2019-03-08,ENPH,SELL,3,8.460000038146973,25.380000114440918,0.0
2019-03-08,TSLA,SELL,61,18.94266700744629,1155.5026874542236,0.0
2019-03-11,COP,SELL,22,51.18990707397461,1126.1779556274414,0.0
2019-03-11,PLUG,SELL,21,2.109999895095825,44.30999779701233,0.0
2019-03-11,BA,BUY,2,390.6411437988281,781.2822875976562,0.0
2019-03-11,POET,BUY,14,2.5999999046325684,36.39999866485596,0.0
2019-03-12,POET,SELL,11,2.700000047683716,29.700000524520874,0.0
2019-03-12,ENPH,SELL,3,9.0,27.0,0.0
2019-03-12,PLUG,SELL,16,2.200000047683716,35.20000076293945,0.0
2019-03-12,SBUX,SELL,19,59.77128601074219,1135.6544342041016,0.0
2019-03-12,BA,BUY,1,366.6173095703125,366.6173095703125,0.0
2019-03-12,TSLA,BUY,62,18.890666961669922,1171.2213516235352,0.0
2019-03-13,PLUG,SELL,34,2.380000114440918,80.92000389099121,0.0
2019-03-13,POET,BUY,42,2.5,105.0,0.0
2019-03-13,BA,SELL,3,368.3067932128906,1104.9203796386719,0.0
2019-03-13,ENPH,SELL,3,9.359999656677246,28.07999897003174,0.0
2019-03-13,SBUX,BUY,20,59.813934326171875,1196.2786865234375,0.0
2019-03-14,POET,BUY,10,2.5,25.0,0.0
2019-03-14,GE,BUY,24,49.710636138916016,1193.0552673339844,0.0
2019-03-14,PLUG,SELL,31,2.5899999141693115,80.28999733924866,0.0
2019-03-14,SBUX,SELL,20,60.36001968383789,1207.2003936767578,0.0
2019-03-15,POET,SELL,40,2.5999999046325684,103.99999618530273,0.0
2019-03-15,PLUG,BUY,59,2.200000047683716,129.80000281333923,0.0
2019-03-18,ENPH,SELL,3,9.670000076293945,29.010000228881836,0.0
2019-03-18,GE,SELL,24,49.22800064086914,1181.4720153808594,0.0
2019-03-18,PLUG,SELL,29,2.4000000953674316,69.60000276565552,0.0
2019-03-18,META,BUY,7,159.22052001953125,1114.5436401367188,0.0
2019-03-18,POET,BUY,14,2.5999999046325684,36.39999866485596,0.0
2019-03-18,TSLA,BUY,5,17.965999603271484,89.82999801635742,0.0
2019-03-19,META,SELL,7,160.31195068359375,1122.1836547851562,0.0
2019-03-19,PLUG,SELL,29,2.5299999713897705,73.36999917030334,0.0
2019-03-19,ENPH,BUY,5,9.199999809265137,45.999999046325684,0.0
2019-03-19,GE,BUY,24,49.17972946166992,1180.3135070800781,0.0
2019-03-19,POET,BUY,15,2.5,37.5,0.0
2019-03-20,PLUG,SELL,11,2.619999885559082,28.819998741149902,0.0
2019-03-21,PLUG,BUY,18,2.5399999618530273,45.71999931335449,0.0
2019-03-22,TSLA,SELL,67,17.635332107543945,1181.5672512054443,0.0
2019-03-22,NKE,BUY,15,74.71784973144531,1120.7677459716797,0.0
2019-03-25,NKE,SELL,15,74.8450927734375,1122.6763916015625,0.0
2019-03-25,POET,SELL,12,2.5,30.0,0.0
2019-03-25,PLUG,BUY,14,2.359999895095825,33.03999853134155,0.0
2019-03-25,TSLA,BUY,67,17.3613338470459,1163.2093677520752,0.0
2019-03-26,ENPH,BUY,4,8.710000038146973,34.84000015258789,0.0
2019-03-27,GE,SELL,24,48.06969451904297,1153.6726684570312,0.0
2019-03-27,POET,SELL,11,2.5999999046325684,28.599998950958252,0.0
2019-03-27,TSLA,SELL,3,18.32200050354004,54.96600151062012,0.0
